750,25,5.293362e-03,1.492078e-02
750,30,5.288161e-03,1.790493e-02
750,50,5.257796e-03,2.984155e-02
750,70,5.211918e-03,4.177817e-02
750,80,5.183037e-03,4.774648e-02
750,100,5.113058e-03,5.968310e-02
800,25,4.963868e-03,1.492078e-02
800,30,4.959584e-03,1.790493e-02
800,50,4.934583e-03,2.984155e-02
800,70,4.896842e-03,4.177817e-02
800,80,4.873105e-03,4.774648e-02
800,100,4.815660e-03,5.968310e-02
1000,25,3.973897e-03,1.492078e-02
1000,30,3.971705e-03,1.790493e-02
1000,50,3.958929e-03,2.984155e-02
1000,70,3.939688e-03,4.177817e-02
1000,80,3.927614e-03,4.774648e-02
1000,100,3.898484e-03,5.968310e-02
1500,25,2.651108e-03,1.492078e-02
1500,30,2.650459e-03,1.790493e-02
1500,50,2.646681e-03,2.984155e-02
1500,70,2.641004e-03,4.177817e-02
1500,80,2.637449e-03,4.774648e-02
1500,100,2.628898e-03,5.968310e-02
2000,25,1.988815e-03,1.492078e-02
2000,30,1.988541e-03,1.790493e-02
2000,50,1.986948e-03,2.984155e-02
2000,70,1.984557e-03,4.177817e-02
2000,80,1.983060e-03,4.774648e-02
2000,100,1.979465e-03,5.968310e-02
2500,25,1.591231e-03,1.492078e-02
2500,30,1.591091e-03,1.790493e-02
2500,50,1.590276e-03,2.984155e-02
2500,70,1.589052e-03,4.177817e-02
2500,80,1.588287e-03,4.774648e-02
2500,100,1.586448e-03,5.968310e-02
3000,25,1.326107e-03,1.492078e-02
3000,30,1.326026e-03,1.790493e-02
3000,50,1.325554e-03,2.984155e-02
3000,70,1.324846e-03,4.177817e-02
3000,80,1.324404e-03,4.774648e-02
3000,100,1.323341e-03,5.968310e-02
